id,label,tweet
306,0,"Will never, ever go back."
307,0,"As much as I'd like to go back, I can't get passed the atrocious service and will never return."
308,1,"In the summer, you can dine in a charming outdoor patio - so very delightful."
309,1,I did not expect this to be so good!
310,1,Fantastic food!
311,0,She ordered a toasted English muffin that came out untoasted.
312,1,The food was very good.
313,0,Never going back.
314,1,"Great food for the price, which is very high quality and house made."
315,0,The bus boy on the other hand was so rude.
316,0,"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known."
317,1,"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways."
318,1,"And considering the two of us left there very full and happy for about $20, you just can't go wrong."
319,1,All the bread is made in-house!
320,0,The only downside is the service.
321,0,"Also, the fries are without a doubt the worst fries I've ever had."
322,1,Service was exceptional and food was a good as all the reviews.
323,1,"A couple of months later, I returned and had an amazing meal."
324,1,Favorite place in town for shawarrrrrrma!!!!!!
325,1,The black eyed peas and sweet potatoes... UNREAL!
326,1,You won't be disappointed.
327,1,"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good."
328,0,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00."
329,0,When my mom and I got home she immediately got sick and she only had a few bites of salad.
330,0,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.
331,1,"Both of them were truly unbelievably good, and I am so glad we went back."
332,1,"We had fantastic service, and were pleased by the atmosphere."
333,0,Everything was gross.
334,1,I love this place.
335,1,Great service and food.
336,0,First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!
337,0,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed."
338,1,"OMG, the food was delicioso!"
339,0,There is nothing authentic about this place.
340,0,the spaghetti is nothing special whatsoever.
341,1,"Of all the dishes, the salmon was the best, but all were great."
342,1,The vegetables are so fresh and the sauce feels like authentic Thai.
343,1,It's worth driving up from Tucson!
344,0,The selection was probably the worst I've seen in Vegas.....there was none.
345,1,Pretty good beer selection too.
346,1,"This place is like Chipotle, but BETTER."
347,1,"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!"
348,1,5 stars for the brick oven bread app!
349,1,"I have eaten here multiple times, and each time the food was delicious."
350,0,We sat another ten minutes and finally gave up and left.
351,0,He was terrible!
352,1,Everyone is treated equally special.
353,0,It shouldn't take 30 min for pancakes and eggs.
354,1,It was delicious!!!
355,1,"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat."
356,0,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas."
357,1,As always the evening was wonderful and the food delicious!
358,1,Best fish I've ever had in my life!
359,1,(The bathroom is just next door and very nice.)
360,0,The buffet is small and all the food they offered was BLAND.
361,1,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.
362,1,Pretty cool I would say.
363,0,Definitely a turn off for me & i doubt I'll be back unless someone else is buying.
364,1,Server did a great job handling our large rowdy table.
365,0,"I find wasting food to be despicable, but this just wasn't food."
366,0,My wife had the Lobster Bisque soup which was lukewarm.
367,1,Would come back again if I had a sushi craving while in Vegas.
368,1,"The staff are great, the ambiance is great."
369,1,He deserves 5 stars.
370,0,I left with a stomach ache and felt sick the rest of the day.
371,0,They dropped more than the ball.
372,1,"The dining space is tiny, but elegantly decorated and comfortable."
373,1,"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!"
374,0,And the beans and rice were mediocre at best.
375,1,Best tacos in town by far!!
376,0,I took back my money and got outta there.
377,1,"In an interesting part of town, this place is amazing."
378,0,RUDE & INCONSIDERATE MANAGEMENT.
379,0,"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes."
380,0,I won't be back.
381,1,They have great dinners.
382,1,The service was outshining & I definitely recommend the Halibut.
383,0,The food was terrible.
384,0,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.
385,0,I don't recommend unless your car breaks down in front of it and you are starving.
386,1,I will come back here every time I'm in Vegas.
387,0,This place deserves one star and 90% has to do with the food.
388,0,This is a disgrace.
389,1,Def coming back to bowl next time
390,1,"If you want healthy authentic or ethic food, try this place."
391,1,I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area (;
392,1,"I have been here several times in the past, and the experience has always been great."
393,1,We walked away stuffed and happy about our first Vegas buffet experience.
394,1,Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.
395,1,"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser."
396,0,I'm probably one of the few people to ever go to Ians and not like it.
397,1,Kids pizza is always a hit too with lots of great side dish options for the kiddos!
398,1,Service is perfect and the family atmosphere is nice to see.
399,1,Cooked to perfection and the service was impeccable.
400,0,This one is simply a disappointment.
401,0,"Overall, I was very disappointed with the quality of food at Bouchon."
402,0,I don't have to be an accountant to know I'm getting screwed!
403,1,"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area."
404,1,Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.
405,0,Left very frustrated.
406,1,I'll definitely be in soon again.
407,1,Food was really good and I got full petty fast.
408,1,Service was fantastic.
409,0,TOTAL WASTE OF TIME.
410,1,I don't know what kind it is but they have the best iced tea.
411,1,"Come hungry, leave happy and stuffed!"
412,0,"For service, I give them no stars."
413,1,I can assure you that you won't be disappointed.
414,0,I can take a little bad service but the food sucks.
415,0,Gave up trying to eat any of the crust (teeth still sore).
416,0,But now I was completely grossed out.
417,1,I really enjoyed eating here.
418,1,First time going but I think I will quickly become a regular.
419,1,"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end."
420,1,From what my dinner companions told me...everything was very fresh with nice texture and taste.
421,0,"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop."
422,0,"Furthermore, you can't even find hours of operation on the website!"
423,0,We've tried to like this place but after 10+ times I think we're done with them.
424,0,What a mistake that was!
425,1,No complaints!
426,1,This is some seriously good pizza and I'm an expert/connisseur on the topic.
427,0,Waiter was a jerk.
428,0,"Strike 2, who wants to be rushed."
429,1,These are the nicest restaurant owners I've ever come across.
430,0,I never come again.
431,1,We loved the biscuits!!!
432,1,Service is quick and friendly.
433,0,Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.
434,1,So absolutley fantastic.
435,0,It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.
436,1,definitely will come back here again.
437,1,I like Steiners because it's dark and it feels like a bar.
438,1,Wow very spicy but delicious.
439,1,"If you're not familiar, check it out."
440,0,I'll take my business dinner dollars elsewhere.
441,1,I'd love to go back.
442,1,"Anyway, this FS restaurant has a wonderful breakfast/lunch."
443,0,Nothing special.
444,1,Each day of the week they have a different deal and it's all so delicious!
445,1,"Not to mention the combination of pears, almonds and bacon is a big winner!"
446,0,Will not be back.
447,0,Sauce was tasteless.
448,1,"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way."
449,1,My ribeye steak was cooked perfectly and had great mesquite flavor.
450,0,I don't think we'll be going back anytime soon.
451,1,Food was so gooodd.
452,0,I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.
453,0,I was so insulted.
454,0,The last 3 times I had lunch here has been bad.
455,0,The chicken wings contained the driest chicken meat I have ever eaten.
456,1,"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc."
457,1,Nargile - I think you are great.
458,1,Best tater tots in the southwest.
459,1,We loved the place.
460,0,Definitely not worth the $3 I paid.
461,1,The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.
462,1,Im in AZ all the time and now have my new spot.
463,0,The manager was the worst.
464,1,The inside is really quite nice and very clean.
465,1,The food was outstanding and the prices were very reasonable.
466,0,I don't think I'll be running back to Carly's anytime soon for food.
467,0,"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things."
468,1,"Love the margaritas, too!"
469,1,This was my first and only Vegas buffet and it did not disappoint.
470,1,"Very good, though!"
471,0,The one down note is the ventilation could use some upgrading.
472,1,Great pork sandwich.
473,0,Don't waste your time here.
474,0,"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee."
475,0,"Third, the cheese on my friend's burger was cold."
476,1,We enjoy their pizza and brunch.
477,1,The steaks are all well trimmed and also perfectly cooked.
478,1,We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.
479,1,I LOVED it!
480,0,We asked for the bill to leave without eating and they didn't bring that either.
481,1,"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here."
482,0,Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.
483,0,The selection of food was not the best.
484,1,Delicious and I will absolutely be back!
485,1,"This isn't a small family restaurant, this is a fine dining establishment."
486,1,They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.
487,0,I dont think I will be back for a very long time.
488,0,"It was attached to a gas station, and that is rarely a good sign."
489,1,How awesome is that.
490,1,I will be back many times soon.
491,1,The menu had so much good stuff on it i could not decide!
492,0,"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings."
493,1,CONCLUSION: Very filling meals.
494,1,Their daily specials are always a hit with my group.
495,0,And then tragedy struck.
496,1,The pancake was also really good and pretty large at that.
497,1,"This was my first crawfish experience, and it was delicious!"
498,1,Their monster chicken fried steak and eggs is my all time favorite.
499,1,Waitress was sweet and funny.
500,1,"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!"
501,0,"I'd rather eat airline food, seriously."
502,1,Cant say enough good things about this place.
503,1,The ambiance was incredible.
504,1,The waitress and manager are so friendly.
505,0,I would not recommend this place.
506,0,Overall I wasn't very impressed with Noca.
507,0,My gyro was basically lettuce only.
508,0,Terrible service!
509,0,Thoroughly disappointed!
510,1,"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here."
511,1,"Give it a try, you will be happy you did."
512,1,By far the BEST cheesecurds we have ever had!
513,1,Reasonably priced also!
514,1,Everything was perfect the night we were in.
515,1,The food is very good for your typical bar food.
516,0,it was a drive to get there.
517,1,"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff."
518,0,"Anyway, I do not think i will go back there."
519,1,"Point your finger at any item on the menu, order it and you won't be disappointed."
520,1,"Oh this is such a thing of beauty, this restaurant."
521,1,If you haven't gone here GO NOW!
522,0,"A greasy, unhealthy meal."
523,0,first time there and might just be the last.
524,1,Those burgers were amazing.
525,0,"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late."
526,0,And it was way to expensive.
527,1,"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for."
528,1,This was my first time and I can't wait until the next.
529,1,The bartender was also nice.
530,1,Everything was good and tasty!
531,1,This place is two thumbs up....way up.
532,1,"The best place in Vegas for breakfast (just check out a Sat, or Sun."
533,1,"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place."
534,0,Terrible management.
535,1,An excellent new restaurant by an experienced Frenchman.
536,0,If there were zero stars I would give it zero stars.
537,1,"Great steak, great sides, great wine, amazing desserts."
538,0,Worst martini ever!
539,1,The steak and the shrimp are in my opinion the best entrees at GC.
540,1,I had the opportunity today to sample your amazing pizzas!
541,0,We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).
542,1,The yellowtail carpaccio was melt in your mouth fresh.
543,0,I won't try going back there even if it's empty.
544,0,"No, I'm going to eat the potato that I found some strangers hair in it."
545,1,Just spicy enough.. Perfect actually.
546,1,Last night was my second time dining here and I was so happy I decided to go back!
547,0,"not even a ""hello, we will be right with you."""
548,0,The desserts were a bit strange.
549,1,My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.
550,1,"I really do recommend this place, you can go wrong with this donut place!"
551,1,Nice ambiance.
552,1,I would recommend saving room for this!
553,0,I guess maybe we went on an off night but it was disgraceful.
554,0,"However, my recent experience at this particular location was not so good."
555,0,"I know this is not like the other restaurants at all, something is very off here!"
556,0,AVOID THIS ESTABLISHMENT!
557,0,I think this restaurant suffers from not trying hard enough.
558,1,All of the tapas dishes were delicious!
559,1,I *heart* this place.
