id,label,tweet
58,1,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.
59,0,The buttons for on and off are bad.
60,0,Essentially you can forget Microsoft's tech support.
61,1,"I really recommend this faceplates since it looks very nice, elegant and cool."
62,1,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.
63,0,Buy a different phone - but not this.
64,0,You have to hold the phone at a particular angle for the other party to hear you clearly.
65,0,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.
66,0,"A week later after I activated it, it suddenly died."
67,1,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.
68,1,Great for iPODs too.
69,1,This device is great in several situations:1.)
70,0,Mic Doesn't work.
71,0,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying."
72,1,Great choice!
73,1,Nice docking station for home or work.
74,1,This is a beautiful phone.
75,1,Love this product.
76,0,Do Not Buy for D807...wrongly advertised for D807.
77,1,This is a great little item.
78,1,"I love this phone , It is very handy and has a lot of features ."
79,0,I purchased this and within 2 days it was no longer working!!!!!!!!!
80,1,I wear it everyday and it holds up very well.
81,0,Not a good bargain.
82,1,"Well packaged, arrived on time, and works as intended."
83,0,The battery runs down quickly.
84,0,"This item worked great, but it broke after 6 months of use."
85,1,The headsets are easy to use and everyone loves them.
86,1,This phone works great.
87,0,The construction of the headsets is poor.
88,1,Product was excellent and works better than the verizon one and Boy was it cheaper!
89,1,The phone loads super!
90,0,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does."
91,1,Made very sturdy.
92,1,Worked great!.
93,0,The ear buds only play music in one ear.
94,0,Dont waste your money...
95,1,Will order from them again!
96,0,If you plan to use this in a car forget about it.
97,0,I found this product to be waaay too big.
98,1,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.
99,0,I'm very disappointed with my decision.
100,1,Integrated seamlessly with the Motorola RAZR phone.
101,0,"Buyer Beware, you could flush money right down the toilet."
102,1,Definitely a bargain.
103,1,The price was very good and with the free shipping and all it was a good purchase.
104,0,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.
105,1,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more."
106,0,"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case)."
107,1,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit."
108,0,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution."
109,0,I purcashed this for the car charger and it does not work.
110,1,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2."
111,1,This phone is slim and light and the display is beautiful.
112,1,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.
113,1,"Great product, fast shipping!."
114,1,Absolutely great.
115,1,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.
116,0,i got this phone around the end of may and i'm completely unhappy with it.
117,1,It is very comfortable on the ear.
118,1,It has been a winner for us.
119,1,)Setup couldn't have been simpler.
120,1,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.
121,0,Could not get strong enough signal.
122,1,Iam very pleased with my purchase.
123,0,Bad Quality.
124,1,Gets the job done.
125,1,Great audio!.
126,0,Basically the service was very bad.
127,0,it did not work in my cell phone plug i am very up set with the charger!.
128,1,"I've only had my bluetooth for a few weeks, but I really like it."
129,0,The BT headset was such a disapoinment.
130,1,It is so small and you don't even realize that it is there after a while of getting used to it.
131,1,The accompanied software is almost brilliant.
132,1,Headset works great & was packaged nicely to avoid any damage.
133,1,!I definitly recommend!!
134,0,Buyer--Be Very Careful!!!!!.
135,0,The majority of the Logitech earbud headsets failed.
136,1,Very good stuff for the price.
137,1,My headset works just peachy-keen.
138,0,In my house I was getting dropped coverage upstairs and no coverage in my basement.
139,1,Voice recognition is tremendous!
140,0,What a waste.
141,0,"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars."
142,0,I was not happy with this item.
143,0,very disappointed.
144,0,The phone takes FOREVER to charge like 2 to 5 hours literally.
145,1,I got this phone on reccomendation from a relative and I'm glad I did.
146,0,What a waste of time!
147,0,Its reception is very very poor.
148,0,Items stated as included from the description ARE NOT INCLUDED.
149,0,"After 3 months, screen just went black all of a sudden."
150,0,I Was Hoping for More.
151,0,"Audio Quality is poor, very poor."
152,1,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!
153,1,"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great."
154,0,I've bought $5 wired headphones that sound better than these.
155,1,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.
156,1,"Nice quality build, unlike some cheap s*** out there."
157,1,This item is fantastic and works perfectly!
158,1,And I just love the colors!
159,1,W810i is just SUPERB.
160,0,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it."
161,1,Great charger.
162,0,This is essentially a communications tool that does not communicate.
163,1,Works like a charm; it work the same as the one I got with the phone.
164,0,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans."
165,1,Great Value.
166,0,Doesn't work at all.. I bougth it for my L7c and its not working.
167,1,"The look of it is very sharp and the screen is nice and clear, with great graphics."
168,0,doesn't last long.
169,0,One thing I hate is the mode set button at the side.
170,1,EXCELLENT SERVICE!!!!!!!!.
171,0,Thank you for wasting my money.
172,0,How can that be?The audio quality is poor.
173,1,The iGo chargers and tips are really great.
174,1,The file browser offers all the options that one needs.Handsfree is great.
175,1,Superb Phone on a Great Network.
176,1,"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case."
177,0,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while."
178,0,It only recognizes the Phone as its storage device.
179,0,"If you like a loud buzzing to override all your conversations, then this phone is for you!"
180,0,Don't buy this product.
181,0,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.
182,1,The sound quality is good and functionality is awesome.
183,0,"I have this phone and it is a thorn in my side, I really abhor it."
184,0,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.
185,1,Incredible!.
186,0,Design Flaw?.
187,1,Great phone!.
188,0,Waste of 13 bucks.
189,0,"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost."
190,0,The replacement died in a few weeks.
191,1,Any ring tone..Overall good phone to buy..
192,1,Lately they have been extremely nice and helpful on the phone.
193,0,I have had problems wit hit dropping signal and more.
194,0,Not impressed.
195,1,"Light weight, I hardly notice it is there."
196,1,You'll love how thin it is.
197,0,Bad Choice.
198,0,The pleather case doesn't fit.
199,0,"useless phone, simply deaf."
200,1,"The color is even prettier than I thought it would be, and the graphics are incredibly sharp."
201,1,All in all I think it was a good investment.
202,0,It makes very strange ticking noises before it ends the call.
203,1,The best electronics of the available FM Transmitters.
204,0,Battery lasts only a few hours.
205,1,"great headset, very impressed - H500."
206,1,"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7."
207,1,I've had this for nearly 2 years and it has worked great for me.
208,1,Good transmit audio.
209,0,We are sending it back.
210,0,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.
211,0,"If you hate earbugs, avoid this phone by all means."
212,1,Great price also!
213,1,"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues."
214,1,fast service.
215,1,I would highly recommend this.
216,1,I would recommend this.
217,0,"I also didn't like the ""on"" button, it felt like it would crack with use."
218,0,WORST PHONE EVER.
219,1,I'm still infatuated with this phone.
220,0,Freezes frequently4.
221,0,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.
222,1,"Simple, lightweight and great fit."
223,0,"All in all, I'd expected a better consumer experience from Motorola."
224,0,There's a horrible tick sound in the background on all my calls that I have never experienced before.
225,1,These are certainly very comfortable and functionality is decent.
226,1,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.
227,0,I'm a bit disappointed.
228,0,"I have had this phone for over a year now, and I will tell you, its not that great."
229,0,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).
230,0,The battery is completely useless to me.
231,0,What a big waste of time.
232,0,Don't waste your $$$ on this one.
233,1,Great sound and service.
234,1,Really pleased with this product so far.
235,1,One of my favorite purchases ever.
236,1,best bluetooth on the market.
237,1,Authentic leather with nice shine and comfort .I recommend you this case !!
238,1,I was very excited to get this headset because I thought it was really cute.
239,0,Do not make the same mistake as me.
240,0,Big Disappointment with calendar sync.
241,0,the phone was unusable and was not new.
242,0,Worst Customer Service Ever.
243,0,"No additional ear gels provided, and no instructions whatsoever."
244,0,It defeats the purpose of a bluetooth headset.
245,1,Worth every penny.
246,1,Excellent wallet type phone case.
247,1,Nice headphones for the price and they work great!
248,0,Internet is excrutiatingly slow.
249,1,"It is very comfortable to wear as well, which is probably the most important aspect about using a case."
250,1,"It's fits like a glove and is strong, secure, and durable."
251,1,O my gosh the best phone I have ever had.
252,1,It's very attractive and appears to be of good quality.
253,1,I love all the features and form factor.
254,0,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it
255,0,poor quality and service.
256,0,"The cable looks so thin and flimsy, it is scary."
257,1,Great Earpiece.
258,1,Excellent hands free tool.
259,1,Great for using with your home stereo.
260,1,Good product - incredible value.
261,1,Only had this a month but it's worked flawlessly so far.
262,1,Works great.
263,0,Absolutel junk.
264,0,THAT one didn't work either.
265,1,Battery life is real good.
266,0,Returned 8 hours later.
267,1,It's a great item.
268,0,Don't waste your money!.
269,1,Love this headset!
270,0,"Not only will it drain your player, but may also potentially fry it."
271,1,Worked perfectly!
272,0,Unreliable - I'm giving up.
273,1,I gave it 5 stars because of the sound quality.
274,0,Avoid this one if you can.
275,1,Reversible plug works great.
276,0,I wasted my little money with this earpiece.
277,1,Very good phone.
278,1,"Best of all is the rotating feature, very helpful."
279,1,Comfort for our whole family.
280,1,"Good product, good seller."
281,1,I love this bluetooth!
282,0,"First of all, it doesn't wear well."
283,1,I am very impressed with this headset from Plantronics.
284,1,I got it because it was so small and adorable.
285,1,Great phone!.
286,0,I wouldn't recommend buying this product.
287,0,Piece of Junk.
288,0,Poorly contstruct hinge.
289,1,"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems"
290,1,Great Phone.
291,0,Don't buy it.
292,1,Excellent Phone.
293,0,DO NOT PURCHASE THIS PHONE.
294,1,The voice recognition thru the handset is excellent.
295,1,This is hands down the best phone I've ever had.
296,1,"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen."
297,1,This one works and was priced right.
298,0,Customer service was terrible.
299,0,Battery life still not long enough in Motorola Razor V3i.
300,0,Sending it back.
301,1,Now I know that I made a wise decision.
302,1,Someone shouldve invented this sooner.
303,1,Good price.
304,1,Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.
305,1,I received it quickly and it works great!!
306,1,Has been working great.
307,0,"As many people complained, I found this headset's microphone was very weak."
308,0,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.
309,0,They do not care about the consumer one bit.
310,1,"This is a good battery, and it got here really fast."
311,0,The instruction manual is lacking.
312,1,Also its slim enough to fit into my alarm clock docking station without removing the case.
313,1,Phone now holds charge like it did when it was new.
314,0,The battery is unreliable as well as the service use antena.
315,0,It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).
316,1,We have gotten a lot of compliments on it.
317,1,This is definitely a must have if your state does not allow cell phone usage while driving.
318,0,I want my money back.
319,1,I love this device.
320,1,I am also very happy with the price.
321,0,I ordered this product first and was unhappy with it immediately.
322,0,The Ngage is still lacking in earbuds.
323,1,I was able to do voice dialing in the car with no problem.
324,0,"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything."
325,1,"good item, low price."
326,0,"However-the riingtones are not the best, and neither are the games."
327,0,The plug did not work very well.
328,0,AMAZON SUCKS.
329,0,Rip off---- Over charge shipping.
330,1,VERY comfortable.
331,1,The battery is working well as a replacement for the original that came with the phone over 2 years ago.
332,1,The reception is excellent!
333,1,"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days."
334,1,"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset."
335,0,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.
336,0,Obviously there is a problem with the adhesive.
337,0,Very disappointing.
338,0,"It was an inexpensive piece, but I would still have expected better quality."
339,0,It is practically useless and did not add any kind of boost to my reception after I bought it.
340,1,Excellent sound quality.
341,0,Was not happy.
342,0,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!
343,1,New Battery works great in phone.
344,0,Worst customer service.
345,1,"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!)."
346,0,Reception is terrible and full of static.
347,1,Good audio quality.
348,1,This little device has transformed my organizational capability and made my life a whole lot easier.
349,0,"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal."
350,0,Were JERKS on the phone.
351,1,Works like a charm.. Works as advertised.
352,1,"Comfortable, Nice Range, Good Battery Life."
353,0,Their network coverage in Los Angeles is horrible.
354,0,Excellent starter wireless headset.
355,0,"The loudspeaker option is great, the bumpers with the lights is very ... appealing."
356,0,The only thing that I think could improve is the sound leaks out from the headset.
357,0,"First off the reception sucks, I have never had more than 2 bars, ever."
358,0,The phone gets EXTREMELY HOT!
359,1,"The microphone also works well, but (according to people I have called) it applifies everything."
360,1,Nice design and quality.
361,0,"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down."
362,1,"It is light, easy to use, and has very clear reception and transmission."
363,0,"bad fit, way too big."
364,1,It definitely was not as good as my S11.
365,1,awesome device.
366,0,Waste of money.
367,1,"I had ordered a motorola data cable, got a very well finished and working product."
368,1,Love This Phone.
369,1,I was looking for this headset for a long time and now that I've got it I couldn't be happier.
370,0,"I'll be drivng along, and my headset starts ringing for no reason."
371,1,Display is excellent and camera is as good as any from that year.
372,1,Battery life is also great!
373,0,The worst phone I've ever had.... Only had it for a few months.
374,0,Not a good item.. It worked for a while then started having problems in my auto reverse tape player.
375,0,This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.
376,1,Protects the phone on all sides.
377,0,This is a VERY average phone with bad battery life that operates on a weak network.
378,1,"Clear Skype Calls, Long Battery Life, Long Range."
379,0,Soyo technology sucks.
380,1,Great Hands Free Device.
381,1,"you can even take self portraits with the outside (exterior) display, very cool."
382,0,Same problem as others have mentioned.
383,1,After trying many many handsfree gadgets this is the one that finally works well.
384,1,Magical Help.
385,0,The worst piece of crap ever along with the Verizon customer service.
386,0,Poor sound quality.
387,1,The best phone in market :).
388,1,It worked very well.
389,1,The company shipped my product very promptly and it works well.
390,1,Exactly what I wanted.
391,0,The picture resolution is far below what other comparably-priced phones are offering today.
392,1,This is a great deal.
393,1,"Excellent product, I am very satisfied with the purchase."
394,1,I highly recommend these and encourage people to give them a try.
395,1,Better than you'd expect.
396,0,"Using all earpieces, left or right, this thing will not stay on my ear."
397,1,Great product and price.
398,1,"Sounds good reasonably priced and effective, Its that simple !"
399,0,Still Waiting...... I'm sure this item would work well.. if I ever recieve it!
400,0,what a disappointment
401,1,Very prompt service.
402,1,Excellent product for the price.
403,1,Very pleased with this headset.
404,0,don't waste your money and time.
405,1,I especially love the long battery life.
406,0,"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out."
407,1,Works great.
408,1,Plantronics Bluetooth Excelent Buy.
409,0,I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.
410,0,I'll be looking for a new earpiece.
411,1,I highly recommend this device to everyone!
412,1,Jawbone Era is awesome too!
413,0,We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement
414,0,After a year the battery went completely dead on my headset.
415,1,"I have used several phone in two years, but this one is the best."
416,1,An Awesome New Look For Fall 2000!.
417,0,This is the first phone I've had that has been so cheaply made.
418,0,"Att is not clear, sound is very distorted and you have to yell when you talk."
419,0,The plastic breaks really easy on this clip.
420,1,Price is good too.
421,0,Don't make the same mistake I did.
422,0,Oh and I forgot to also mention the weird color effect it has on your phone.
423,1,I'm using it with an iriver SPINN (with case) and it fits fine.
424,0,Also the area where my unit broke).- I'm not too fond of the magnetic strap.
425,1,"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception."
426,1,"every thing on phone work perfectly, she like it."
427,0,"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model."
428,1,IT'S REALLY EASY.
429,1,My Sanyo has survived dozens of drops on blacktop without ill effect.
430,1,Fantastic earphones.
431,1,It finds my cell phone right away when I enter the car.
432,0,Low Quality.
433,1,I highly recommend this modest priced cellular phone.
434,1,But it does get better reception and clarity than any phone I've had before.
435,0,Warning - Stay away.
436,0,I wish I could return the unit and get back my money.
437,1,Awsome Device Works Great!!.
438,0,I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.
439,0,"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone."
440,0,Very Displeased.
441,0,"I might have gotten a defect, but I would not risk buying it again because of the built quality alone."
442,0,They made this case too small and is very difficult to install.
443,1,Restored my phone to like new performance.
444,1,"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure."
445,1,"I searched the Internet, and found this one to be the best value."
446,0,Does not fit.
447,1,Very happy with this product.
448,1,"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone."
449,0,There's really nothing bad I can say about this headset.
450,1,"i'm glad i found this product on amazon it is hard to find, it wasn't high priced."
451,1,Portable and it works.
452,1,"My colleague & I now get great reception.A little expensive, but performance is great."
453,0,I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.
454,0,I've also had problems with the phone reading the memory card in which I always turn it on and then off again.
455,0,Not good when wearing a hat or sunglasses.
456,1,Timely shipment and quality product.
457,1,Nice solid keyboard.
458,1,Very well made and fits my Surefire GX2 perfectly.
459,0,Horrible phone.
460,0,BT50 battery junk!.
461,1,We would recommend these to others.
462,0,Cant get the software to work with my computer.
463,0,Disappointed!.
464,0,poor voice clarity.
465,1,The battery works great!
466,0,No buyers remorse on this one!.
467,0,Very disappointed in AccessoryOne.
468,0,I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.
469,1,"Looks great and is strong."""
470,1,"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it."
471,0,The update procedure is difficult and cumbersome.
472,0,Disappointment.. I hate anything that goes in my ear.
473,1,Great software for Motorolas.
474,1,The delivery was on time.
475,1,Very easy to use.
476,0,"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV)."
477,0,The volume switch rocketed out of the unit to a destination unknown.
478,1,"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous."
479,0,I'd like to return it.
480,1,The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.
481,0,"Verizon's bills, however, are difficult to understand even though their pricing plans are simple."
482,1,"After charging overnight, these batteries work great."
483,1,You won't regret it!
484,1,I love this phone!.
485,0,A Disappointment.
486,0,Its not user friendly.
487,0,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.
488,0,"Then I exchanged for the same phone, even that had the same problem."
489,0,This results in the phone being either stuck at max volume or mute.
490,1,This PDA rocks.
491,1,"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles."
492,1,"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!"
493,1,I had Verizon 2 years ago and really liked their service.
494,0,Pretty piece of junk.
495,0,Plug was the wrong size.
496,1,Works as described.
497,0,Save your money.... I've had this item for 11 months now.
498,0,Bad Purchase.
499,1,WELL IM SATISFIED.
500,1,"The bose noise cancelling is amazing, which is very important for a NYC commuter."
501,1,This battery is an excellent bargain!
502,0,Defective crap.
503,0,I would have given no star if I was able.
504,1,I wear glasses and it fits fine with them.
505,0,"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing."
506,0,I would not recommend this item to anyone.
507,0,The holster that arrived did not match the photo in the ad.
508,1,great...no problems at all!.
509,0,"As an earlier review noted, plug in this charger and nothing happens."
510,1,This frog phone charm is adorable and very eye catching.
511,0,You never know if you pushed it hard enough or the right number of times for the function you want or not.
512,1,The sound is clear and the people I talk to on it are amazed at the quality too.
513,1,I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.
514,1,"very good product, well made."
515,1,Mobile Phone Tools are a must have.
516,1,I am very impressed with the job that Motorola did on the sturdiness of this phone.
517,1,"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source."
518,1,The phone is sturdy and waterproof.
519,0,I am not impressed with this and i would not recommend this item to anyone.
520,0,My only complaint is the standard sound volume is a little low even when turned up to 5(of 5)
521,1,Thanks again to Amazon for having the things I need for a good price!
522,1,I ended up sliding it on the edge of my pants or back pockets instead.
523,1,I had to go to a store and bought a new NOKIA phone which is working great.
524,1,Works great!.
525,0,REALLY UGLY.
526,0,"horrible, had to switch 3 times."
527,1,The noise shield is incrediable.
528,0,No real improvement.
529,1,Razr Battery - Good buy.
530,1,Keep up the good work Amazon!!
531,0,They refuse to refund or replace.
532,0,Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.
533,0,So I basically threw my money out the window for nothing.
534,1,Great case and price!
535,0,All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.
536,1,"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch."
537,1,"Small, sleek, impressive looking, practical setup with ample storage in place."
538,1,The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.
539,0,none of the new ones have ever quite worked properly.
540,1,I am glad I purchased it.
541,0,I've missed numerous calls because of this reason.
542,0,"Perhaps my phone is defective, but people cannot hear me when I use this."
543,0,Don't buy this product.
544,0,"sucked, most of the stuff does not work with my phone."
545,1,"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid."
546,0,Worst software ever used.... If I could give this zero stars I would.
547,0,Trying to make a call on these is an exercise in frustration.
548,0,The case is a flimsy piece of plastic and has no front or side protection whatsoever.
549,1,"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better."
550,1,"I love the camera, it's really pretty good quality."
551,1,Thank you for such great service.
552,1,Its a total package.
553,1,"The seller is very understanding and patient, I would definitely buy from them again."
554,0,I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.
555,0,It's AGGRAVATING!
556,1,Great product for the price!.
557,1,"I have purchased these for both family and friends, and all enjoy their clarity and ease of use"
558,1,Virgin Wireless rocks and so does this cheap little phone!
559,0,"None of it works, just don't buy it."
560,0,"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off."
561,0,Please dont waste your money.
562,1,"All in all, I'm quite satisfied with this purchase."
563,0,"If you are looking for a good quality Motorola Headset keep looking, this isn't it."
564,0,Yet Plantronincs continues to use the same flawed charger design.
565,0,Disapointing Results.
566,0,Cumbersome design.
567,1,"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!"
568,1,Great Product.
569,0,It's A PIECE OF CRAP!
570,0,"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!"
571,1,This fixes all the problems.
572,0,Worst ever.
573,1,I am very happy
574,1,"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions."
575,0,"I can barely ever hear on it and am constantly saying ""what?"""
576,0,The battery life is highly unacceptable.
577,0,That company is a joke.
578,1,It does everything the description said it would.
579,0,Due to this happening on every call I was forced to stop using this headset.
580,1,"It works great with a car charger, especially if you cannot plug in two adapters at the same time."
581,0,"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data."
582,0,"Voice Quality, Signal Strength, Dropped Calls."
583,1,"It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not."
584,1,Better than expected.
585,0,"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them."
586,1,Battery is holding up well.
587,0,Also difficult to put on.I'd recommend avoiding this product.
588,0,"I only used it two days, and it wasn't always easy to hear with."
589,0,I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.
590,0,Sprint - terrible customer service.
591,1,Linked to my phone without effort.
592,1,THey are so cool!
593,1,Easy to use.
594,1,Better Than New.
595,0,"What possesed me to get this junk, I have no idea..."
596,0,Piece of trash.
597,1,A pretty good product.
598,1,This is a great phone!.
599,1,"For the price on Amazon, it is an excellent product, which I would highly recommend."
600,1,Their Research and Development division obviously knows what they're doing.
601,0,"The real killer is the volume, and of course it breaking."
602,1,Those phones are working just fine now.
603,1,I am more than happy with this product.
604,0,Poor Construction.
605,0,This is infuriating.
606,1,"Overall, I would recommend this phone over the new Walkman."
607,0,Sprint charges for this service.
608,0,"It is cheap, and it feel and look just as cheap."
609,1,It fits my ear well and is comfortable on.
610,0,It doesn't work in Europe or Asia.
